T_sync[ms], msShut_Enable, PumpA_Enable, N_Mode, N_Delay, Zpos, AIN_Volt, PCMD_Z, Tcorr_sum[us]
115833,0,1,10,10,1.004,1.642,0.923,-11
116102,0,1,10,10,1.004,2.007,1.003,-7
116371,0,1,10,10,0.995,2.357,1.082,-13
116640,0,1,10,10,0.995,2.643,1.163,-17
116909,0,1,10,10,1.005,2.885,1.246,-12
117177,0,1,10,10,1.000,1.302,0.855,-13
117446,0,1,10,10,1.005,1.692,0.935,-7
117715,0,1,10,10,0.998,2.076,1.014,-9
117984,0,1,10,10,0.996,2.398,1.094,-14
118253,0,1,10,10,0.996,2.688,1.176,-18
118522,0,1,10,10,1.007,2.919,1.258,-10
118790,0,1,10,10,1.001,1.361,0.868,-9
119059,0,1,10,10,1.001,1.764,0.946,-8
119328,0,1,10,10,0.999,2.122,1.026,-9
119597,0,1,10,10,0.993,2.453,1.106,-16
119866,0,1,10,10,0.998,2.723,1.189,-18
120135,0,1,10,10,1.010,2.953,1.271,-7
120403,0,1,10,10,1.001,1.428,0.879,-6
120672,0,1,10,10,1.001,1.818,0.957,-5
120941,0,1,10,10,0.995,2.183,1.037,-10
121210,0,1,10,10,0.994,2.494,1.119,-16
121479,0,1,10,10,0.998,2.768,1.202,-19
121747,0,1,10,10,0.994,1.079,0.814,-25
122016,0,1,10,10,1.006,1.493,0.896,-19
122285,0,1,10,10,1.007,1.880,0.977,-12
122554,0,1,10,10,1.000,2.231,1.054,-12
122823,0,1,10,10,0.994,2.547,1.133,-18
123092,0,1,10,10,1.002,2.798,1.215,-16
123360,0,1,10,10,0.995,1.153,0.826,-22
123629,0,1,10,10,1.006,1.550,0.908,-15
123898,0,1,10,10,1.004,1.939,0.988,-11
124167,0,1,10,10,0.997,2.289,1.066,-14
124436,0,1,10,10,0.996,2.584,1.146,-18
124705,0,1,10,10,1.002,2.842,1.228,-17
124973,0,1,10,10,0.999,1.205,0.839,-18
125242,0,1,10,10,1.004,1.620,0.919,-13
125511,0,1,10,10,1.002,1.996,0.999,-11
125780,0,1,10,10,0.997,2.335,1.078,-14
126049,0,1,10,10,0.994,2.636,1.159,-21
126318,0,1,10,10,1.006,2.871,1.242,-15
126586,0,1,10,10,0.999,1.282,0.852,-16
126855,0,1,10,10,1.005,1.672,0.931,-10
127124,0,1,10,10,1.000,2.053,1.010,-10
127393,0,1,10,10,0.994,2.387,1.090,-16
127662,0,1,10,10,0.996,2.670,1.171,-20
127931,0,1,10,10,1.006,2.911,1.254,-14
128199,0,1,10,10,1.002,1.334,0.864,-11
128468,0,1,10,10,1.002,1.742,0.942,-9
128737,0,1,10,10,0.999,2.105,1.022,-11
129006,0,1,10,10,0.994,2.436,1.102,-18
129275,0,1,10,10,0.997,2.713,1.184,-21
129544,0,1,10,10,1.010,2.939,1.267,-11
129812,0,1,10,10,1.001,1.409,0.876,-10
130081,0,1,10,10,1.002,1.794,0.954,-7
130350,0,1,10,10,0.995,2.167,1.033,-12
130619,0,1,10,10,0.994,2.480,1.114,-19
130888,0,1,10,10,0.998,2.752,1.198,-21
131156,0,1,10,10,0.992,1.065,0.810,-29
131425,0,1,10,10,1.008,1.464,0.893,-21
131694,0,1,10,10,1.006,1.865,0.973,-14
131963,0,1,10,10,1.002,2.209,1.050,-13
132232,0,1,10,10,0.994,2.531,1.129,-19
132501,0,1,10,10,1.000,2.790,1.210,-19
132769,0,1,10,10,0.995,1.125,0.822,-25
133038,0,1,10,10,1.005,1.536,0.904,-19
133307,0,1,10,10,1.007,1.911,0.984,-12
133576,0,1,10,10,0.997,2.273,1.062,-15
133845,0,1,10,10,0.996,2.569,1.141,-20
134114,0,1,10,10,1.001,2.828,1.224,-19
134382,0,1,10,10,0.997,1.191,0.834,-22
134651,0,1,10,10,1.006,1.591,0.915,-15
134920,0,1,10,10,1.002,1.981,0.995,-13
135189,0,1,10,10,0.998,2.314,1.074,-16
135458,0,1,10,10,0.994,2.618,1.154,-21
135727,0,1,10,10,1.004,2.861,1.237,-17
135995,0,1,10,10,0.999,1.256,0.847,-18
136264,0,1,10,10,1.004,1.659,0.927,-14
136533,0,1,10,10,1.002,2.031,1.007,-13
136802,0,1,10,10,0.995,2.373,1.086,-18
137071,0,1,10,10,0.997,2.654,1.167,-21
137340,0,1,10,10,1.005,2.899,1.250,-16
137608,0,1,10,10,1.001,1.317,0.859,-15
137877,0,1,10,10,1.003,1.719,0.938,-12
138146,0,1,10,10,0.999,2.090,1.018,-13
138415,0,1,10,10,0.995,2.415,1.098,-18
138684,0,1,10,10,0.996,2.702,1.180,-23
138953,0,1,10,10,1.009,2.926,1.263,-13
139221,0,1,10,10,1.001,1.387,0.871,-12
139490,0,1,10,10,1.002,1.776,0.949,-10
139759,0,1,10,10,0.997,2.144,1.029,-13
140028,0,1,10,10,0.993,2.469,1.110,-21
140297,0,1,10,10,0.999,2.735,1.193,-22
140565,0,1,10,10,0.990,1.045,0.805,-32
140834,0,1,10,10,1.008,1.439,0.888,-24
141103,0,1,10,10,1.007,1.842,0.969,-16
141372,0,1,10,10,1.000,2.199,1.046,-16
141641,0,1,10,10,0.995,2.511,1.125,-21
141910,0,1,10,10,0.999,2.780,1.206,-23
142178,0,1,10,10,0.995,1.097,0.818,-28
142447,0,1,10,10,1.005,1.516,0.900,-22
142716,0,1,10,10,1.007,1.895,0.980,-15
142985,0,1,10,10,0.998,2.251,1.058,-16
143254,0,1,10,10,0.994,2.559,1.137,-22
